DATE,KYPCPI
1929-01-01,388
1930-01-01,322
1931-01-01,287
1932-01-01,209
1933-01-01,204
1934-01-01,232
1935-01-01,264
1936-01-01,293
1937-01-01,339
1938-01-01,296
1939-01-01,305
1940-01-01,322
1941-01-01,401
1942-01-01,551
1943-01-01,717
1944-01-01,778
1945-01-01,815
1946-01-01,835
1947-01-01,870
1948-01-01,1001
1949-01-01,940
1950-01-01,998.0
1951-01-01,1172.0
1952-01-01,1256.0
1953-01-01,1327.0
1954-01-01,1311.0
1955-01-01,1368.0
1956-01-01,1452.0
1957-01-01,1508.0
1958-01-01,1561.0
1959-01-01,1621.0
1960-01-01,1651.0
1961-01-01,1750.0
1962-01-01,1844.0
1963-01-01,1928.0
1964-01-01,1990.0
1965-01-01,2150.0
1966-01-01,2345.0
1967-01-01,2518.0
1968-01-01,2733.0
1969-01-01,3037.0
1970-01-01,3261.0
1971-01-01,3476.0
1972-01-01,3801.0
1973-01-01,4227.0
1974-01-01,4698.0
1975-01-01,5039.0
1976-01-01,5536.0
1977-01-01,6135.0
1978-01-01,6769.0
1979-01-01,7535.0
1980-01-01,8152.0
1981-01-01,9056.0
1982-01-01,9611.0
1983-01-01,9949.0
1984-01-01,11111.0
1985-01-01,11588.0
1986-01-01,11936.0
1987-01-01,12624.0
1988-01-01,13743.0
1989-01-01,14784.0
1990-01-01,15613.0
1991-01-01,16345.0
1992-01-01,17407.0
1993-01-01,17871.0
1994-01-01,18604.0
1995-01-01,19307.0
1996-01-01,20314.0
1997-01-01,21388.0
1998-01-01,22445.0
1999-01-01,23224.0
2000-01-01,24868.0
2001-01-01,25596.0
2002-01-01,26057.0
2003-01-01,26687.0
2004-01-01,28087.0
2005-01-01,29241.0
2006-01-01,30660.0
2007-01-01,31728.0
2008-01-01,33002.0
2009-01-01,32397.0
2010-01-01,33409.0
2011-01-01,34799.0
2012-01-01,35875.0
2013-01-01,36058.0
2014-01-01,37645.0
2015-01-01,39232.0
2016-01-01,39750.0
2017-01-01,40770.0
2018-01-01,41977.0
2019-01-01,43629.0
2020-01-01,47058.0
2021-01-01,50699.0
